Pathogen	Pathogen_Uniprot_ID	Human_Uniprot_ID
Yersinia pestis	Q9ZFR9	P30480
Yersinia pestis	Q9ZFR9	Q14192
Yersinia pestis	Q9ZFR9	Q08117
Yersinia pestis	Q9ZFR9	P19838
Yersinia pestis	Q9ZFR9	Q9H2K8
Yersinia pestis	Q9ZFR9	P18031
Yersinia pestis	Q9ZFR9	P01877
Yersinia pestis	Q9ZFR9	P61604
Yersinia pestis	Q9ZFR9	P17931
Yersinia pestis	Q9ZFR9	Q9ULF5
Yersinia pestis	Q9ZFR9	Q5RIA9
Yersinia pestis	Q9ZFR9	Q9H078
Yersinia pestis	Q9ZFR9	Q16769
Yersinia pestis	Q9ZFR9	Q14571
Yersinia pestis	Q9ZFR9	O14901
Yersinia pestis	Q9ZFR9	O75197
Yersinia pestis	Q9ZFR9	B2R4P9
Yersinia pestis	Q9ZFR9	P02452
Yersinia pestis	Q9ZFR9	P26010
Yersinia pestis	Q9ZFR9	P04233
Yersinia pestis	Q9ZFR9	P01871
Yersinia pestis	Q9ZFR9	P01857
Yersinia pestis	Q9ZFR9	P19338
Yersinia pestis	Q9ZFR9	Q14686
Yersinia pestis	Q9ZFR9	P55287
Yersinia pestis	Q9ZFR9	Q9UKY1
Yersinia pestis	Q9ZFR9	Q9NUG4
Yersinia pestis	Q9ZFR9	Q02297
Yersinia pestis	Q9ZFR9	Q9BSJ8
Yersinia pestis	Q9ZFR9	Q8N2S1
Yersinia pestis	Q9ZFR9	Q9NY15
Yersinia pestis	Q9ZFR9	P49585
Yersinia pestis	Q9ZFR9	P46379
Yersinia pestis	Q9ZFR9	O60318
Yersinia pestis	Q9ZFR9	O94842
Yersinia pestis	Q9ZFR9	P04275
Yersinia pestis	Q9ZFR9	P11474
Yersinia pestis	Q9ZFR9	P07237
Yersinia pestis	Q9ZFR9	P32455
Yersinia pestis	Q9ZFR9	Q9UGI8
Yersinia pestis	Q9ZC81	Q13838
Yersinia pestis	Q9ZC81	P61604
Yersinia pestis	Q9ZC81	Q93063
Yersinia pestis	Q9ZC81	Q9Y5P3
Yersinia pestis	Q9ZC81	Q08117
Yersinia pestis	Q9ZC81	B2R4P9
Yersinia pestis	Q9ZC81	P01877
Yersinia pestis	Q9ZC81	P46379
Yersinia pestis	Q9ZC81	Q4G0J3
Yersinia pestis	Q9ZC81	Q9H078
Yersinia pestis	Q9ZC81	Q01081
Yersinia pestis	Q9ZC81	O15143
Yersinia pestis	Q9ZC81	P26641
Yersinia pestis	Q9ZC81	Q9UGI8
Yersinia pestis	Q9ZC81	Q9NUG4
Yersinia pestis	Q9ZC81	Q9NY15
Yersinia pestis	Q9ZC81	Q92888
Yersinia pestis	Q9ZC81	P32455
Yersinia pestis	Q9ZC81	P01871
Yersinia pestis	Q9ZC81	Q3MIN7
Yersinia pestis	Q9ZC81	O75197
Yersinia pestis	Q9ZC81	Q14571
Yersinia pestis	Q9ZC81	Q5RIA9
Yersinia pestis	Q9ZC81	Q8NDI1
Yersinia pestis	Q9ZC81	P30480
Yersinia pestis	Q9ZC81	P26010
Yersinia pestis	Q9ZC81	P10826
Yersinia pestis	Q9ZC81	P19532
Yersinia pestis	Q9ZC81	O75376
Yersinia pestis	Q9ZC81	P29350
Yersinia pestis	Q9ZC68	P01848
Yersinia pestis	Q9ZC68	P30480
Yersinia pestis	Q9ZC68	Q05084
Yersinia pestis	Q9ZC68	Q9NY15
Yersinia pestis	Q9ZC68	P29350
Yersinia pestis	Q9ZC68	Q92574
Yersinia pestis	Q9ZC68	P19838
Yersinia pestis	Q9ZC68	Q15751
Yersinia pestis	Q9ZC68	A4D0U5
Yersinia pestis	Q9ZC68	P17931
Yersinia pestis	Q9ZC68	Q7Z3K3
Yersinia pestis	Q9ZC68	P55287
Yersinia pestis	Q9ZC68	Q5RIA9
Yersinia pestis	Q9ZC68	Q9ULF5
Yersinia pestis	Q9ZC68	P07237
Yersinia pestis	Q9ZC68	P46063
Yersinia pestis	Q9ZC68	P20073
Yersinia pestis	Q9ZC68	Q92541
Yersinia pestis	Q9ZC68	P21731
Yersinia pestis	Q9ZC68	P53804
Yersinia pestis	Q9ZC68	Q9UKY1
Yersinia pestis	Q9ZC68	Q9NUG4
Yersinia pestis	Q9ZC68	P26641
Yersinia pestis	Q9ZC68	Q7Z4H7
Yersinia pestis	Q9ZC68	P42166
Yersinia pestis	Q9ZC68	P84243
Yersinia pestis	Q9ZC68	Q8NDI1
Yersinia pestis	Q9ZC68	Q08117
Yersinia pestis	Q9ZC68	B2R4P9
Yersinia pestis	Q9ZC68	P50416
Yersinia pestis	Q9ZC68	Q9NQB0
Yersinia pestis	Q9ZC68	Q9H078
Yersinia pestis	Q9ZC68	P19338
Yersinia pestis	Q9ZC68	A8K3M3
Yersinia pestis	Q9ZC68	Q6PKC3
Yersinia pestis	Q9ZC68	Q2TAL8
Yersinia pestis	Q9ZC68	O15143
Yersinia pestis	Q9ZC68	P23528
Yersinia pestis	Q9ZC68	Q6ZWJ1
Yersinia pestis	Q9ZC68	P13639
Yersinia pestis	Q9ZC68	Q9NNW5
Yersinia pestis	Q9ZC68	Q14192
Yersinia pestis	Q9ZC68	P18031
Yersinia pestis	Q9ZC68	Q01081
Yersinia pestis	Q9ZC68	Q4LDE5
Yersinia pestis	Q9ZC68	Q16769
Yersinia pestis	Q9ZC68	Q9NYI0
Yersinia pestis	Q9ZC68	Q9UGI8
Yersinia pestis	Q9ZC68	P33121
Yersinia pestis	Q9ZC68	Q9Y3X0
Yersinia pestis	Q9ZC68	Q8WXI9
Yersinia pestis	Q9ZC68	Q9UBK9
Yersinia pestis	Q9ZC68	A4D1N4
Yersinia pestis	Q9ZC68	Q02297
Yersinia pestis	Q9ZC68	P41279
Yersinia pestis	Q9ZC68	Q6IQ19
Yersinia pestis	Q9ZC68	Q8N196
Yersinia pestis	Q9ZC68	P01857
Yersinia pestis	Q9ZC68	O94842
Yersinia pestis	Q9ZC68	Q8NAV2
Yersinia pestis	Q9ZC68	Q01459
Yersinia pestis	Q9ZC68	P01877
Yersinia pestis	Q9ZC68	Q9H4A3
Yersinia pestis	Q9ZC68	P46379
Yersinia pestis	Q9ZC68	P04275
Yersinia pestis	Q9ZC68	P20339
Yersinia pestis	Q9ZC68	O14901
Yersinia pestis	Q9ZC68	Q92851
Yersinia pestis	Q9ZC68	Q9BSJ8
Yersinia pestis	Q9ZC68	O95236
Yersinia pestis	Q9ZC68	Q7Z3U7
Yersinia pestis	Q9ZC68	Q9NX63
Yersinia pestis	Q9ZC68	P16455
Yersinia pestis	Q9ZC68	P26010
Yersinia pestis	Q9ZC68	P10826
Yersinia pestis	Q9ZC68	P61604
Yersinia pestis	Q9ZC68	P01871
Yersinia pestis	Q9ZC68	Q9Y6X8
Yersinia pestis	Q9ZC68	P11474
Yersinia pestis	Q9ZC68	Q96T58
Yersinia pestis	Q9ZC68	Q14568
Yersinia pestis	Q9ZC68	P32455
Yersinia pestis	Q9ZC68	Q8N131
Yersinia pestis	Q9ZC68	Q92888
