Pathogen_Uniprot_ID	Human_Uniprot_ID
ENO_STRP2	FCAR_HUMAN
ENO_STRP2	FCG2B_HUMAN
ENO_STRP2	FCERG_HUMAN
ENO_STRP2	CLUS_HUMAN
ENO_STRP2	VTNC_HUMAN
ENO_STRP2	A2MG_HUMAN
ENO_STRP2	CBPB2_HUMAN
ENO_STRP2	CO2_HUMAN
ENO_STRP2	CO3_HUMAN
ENO_STRP2	CO5_HUMAN
ENO_STRP2	CO9_HUMAN
ENO_STRP2	DAF_HUMAN
ENO_STRP2	CFAI_HUMAN
ENO_STRP2	CFAH_HUMAN
ENO_STRP2	IL1B_HUMAN
ENO_STRP2	CBPN_HUMAN
ENO_STRP2	CO4A_HUMAN
ENO_STRP2	CO4B_HUMAN
ENO_STRP2	CO8A_HUMAN
ENO_STRP2	CO8B_HUMAN
ENO_STRP2	CFAB_HUMAN
ENO_STRP2	C1QC_HUMAN
ENO_STRP2	C1R_HUMAN
ENO_STRP2	CR2_HUMAN
ENO_STRP2	IGLC2_HUMAN
ENO_STRP2	IGKC_HUMAN
ENO_STRP2	MCP_HUMAN
ENO_STRP2	IGLC3_HUMAN
ENO_STRP2	CO6_HUMAN
ENO_STRP2	CO7_HUMAN
ENO_STRP2	CD5L_HUMAN
ENO_STRP2	C1QB_HUMAN
ENO_STRP2	C1S_HUMAN
ENO_STRP2	C4BPB_HUMAN
ENO_STRP2	C1QBP_HUMAN
ENO_STRP2	C1QA_HUMAN
ENO_STRP2	C4BPA_HUMAN
ENO_STRP2	FHR1_HUMAN
ENO_STRP2	PROP_HUMAN
ENO_STRP2	MASP1_HUMAN
ENO_STRP2	CPN2_HUMAN
ENO_STRP2	FHR5_HUMAN
ENO_STRP2	PHB_HUMAN
ENO_STRP2	FHR2_HUMAN
ENO_STRP2	CO8G_HUMAN
ENO_STRP2	CR1L_HUMAN
ENO_STRP2	FHR4_HUMAN
ENO_STRP2	SUSD4_HUMAN
ENO_STRP2	ITAV_HUMAN
ENO_STRP2	AGRB1_HUMAN
ENO_STRP2	ITB3_HUMAN
ENO_STRP2	CD47_HUMAN
ENO_STRP2	ITB2_HUMAN
ENO_STRP2	NRAM1_HUMAN
ENO_STRP2	TM9S4_HUMAN
ENO_STRP2	ITB1_HUMAN
ENO_STRP2	MFGM_HUMAN
ENO_STRP2	AA2AR_HUMAN
ENO_STRP2	ABCA7_HUMAN
ENO_STRP2	AA1R_HUMAN
ENO_STRP2	FCN1_HUMAN
ENO_STRP2	ITAM_HUMAN
ENO_STRP2	P2RX7_HUMAN
ENO_STRP2	LRP1_HUMAN
ENO_STRP2	PECA1_HUMAN
ENO_STRP2	PRTN3_HUMAN
ENO_STRP2	PTX3_HUMAN
ENO_STRP2	SPON2_HUMAN
ENO_STRP2	ITAL_HUMAN
ENO_STRP2	MERTK_HUMAN
ENO_STRP2	CD14_HUMAN
ENO_STRP2	ABCA1_HUMAN
ENO_STRP2	LBP_HUMAN
ENO_STRP2	ICAM3_HUMAN
ENO_STRP2	SCRB1_HUMAN
ENO_STRP2	LDLR_HUMAN
ENO_STRP2	LEPR_HUMAN
ENO_STRP2	FGR_HUMAN
ENO_STRP2	GELS_HUMAN
ENO_STRP2	TLR4_HUMAN
ENO_STRP2	SRC_HUMAN
ENO_STRP2	TGM2_HUMAN
ENO_STRP2	ABI1_HUMAN
ENO_STRP2	ARPC5_HUMAN
ENO_STRP2	ABL1_HUMAN
ENO_STRP2	CRP_HUMAN
ENO_STRP2	FAK1_HUMAN
ENO_STRP2	FCN2_HUMAN
ENO_STRP2	CYFP1_HUMAN
ENO_STRP2	CD36_HUMAN
ENO_STRP2	LEP_HUMAN
ENO_STRP2	ICAM5_HUMAN
ENO_STRP2	KPCD_HUMAN
ENO_STRP2	LYN_HUMAN
ENO_STRP2	SLAF1_HUMAN
ENO_STRP2	GRB2_HUMAN
ENO_STRP2	FCG3A_HUMAN
ENO_STRP2	RAB34_HUMAN
ENO_STRP2	RAB7A_HUMAN
ENO_STRP2	UN13D_HUMAN
ENO_STRP2	YES_HUMAN
ENO_STRP2	CD3G_HUMAN
ENO_STRP2	3BP1_HUMAN
ENO_STRP2	CYFP2_HUMAN
ENO_STRP2	ARPC3_HUMAN
ENO_STRP2	ARPC2_HUMAN
ENO_STRP2	ARPC4_HUMAN
ENO_STRP2	C1QR1_HUMAN
ENO_STRP2	DYN2_HUMAN
ENO_STRP2	CRK_HUMAN
ENO_STRP2	BAIP2_HUMAN
ENO_STRP2	COR1A_HUMAN
ENO_STRP2	CD3Z_HUMAN
ENO_STRP2	FCN3_HUMAN
ENO_STRP2	IGLL1_HUMAN
ENO_STRP2	IGHD_HUMAN
ENO_STRP2	PLCG2_HUMAN
ENO_STRP2	FCGR1_HUMAN
ENO_STRP2	MYO1G_HUMAN
ENO_STRP2	MYO1C_HUMAN
ENO_STRP2	NCKPL_HUMAN
ENO_STRP2	NCKP1_HUMAN
ENO_STRP2	PLPL9_HUMAN
ENO_STRP2	PI51A_HUMAN
ENO_STRP2	MYH9_HUMAN
ENO_STRP2	VAMP7_HUMAN
ENO_STRP2	WASF2_HUMAN
ENO_STRP2	WASL_HUMAN
ENO_STRP2	WASP_HUMAN
ENO_STRP2	TUB_HUMAN
ENO_STRP2	SYT7_HUMAN
ENO_STRP2	TULP1_HUMAN
ENO_STRP2	MSRE_HUMAN
ENO_STRP2	KPCE_HUMAN
ENO_STRP2	MARCO_HUMAN
ENO_STRP2	FCG2A_HUMAN
ENO_STRP2	MEG10_HUMAN
ENO_STRP2	PEAR1_HUMAN
ENO_STRP2	TXND5_HUMAN
ENO_STRP2	SRPX_HUMAN
ENO_STRP2	XKR8_HUMAN
ENO_STRP2	IGLL5_HUMAN
ENO_STRP2	TAFA4_HUMAN
ENO_STRP2	FIBA_HUMAN
ENO_STRP2	FIBB_HUMAN
ENO_STRP2	CATL1_HUMAN
ENO_STRP2	CATB_HUMAN
ENO_STRP2	FIBG_HUMAN
ENO_STRP2	S10A9_HUMAN
ENO_STRP2	S10A8_HUMAN
ENO_STRP2	CATK_HUMAN
ENO_STRP2	CATS_HUMAN
ENO_STRP2	TLR2_HUMAN
ENO_STRP2	APOB_HUMAN
ENO_STRP2	TRIL_HUMAN
ENO_STRP2	RL40_HUMAN
ENO_STRP2	TLR9_HUMAN
ENO_STRP2	TLR1_HUMAN
ENO_STRP2	TLR6_HUMAN
ENO_STRP2	CH60_HUMAN
ENO_STRP2	LGMN_HUMAN
ENO_STRP2	UBB_HUMAN
ENO_STRP2	TLR3_HUMAN
ENO_STRP2	RS27A_HUMAN
ENO_STRP2	TLR10_HUMAN
ENO_STRP2	TLR5_HUMAN
ENO_STRP2	TLR7_HUMAN
ENO_STRP2	TLR8_HUMAN
ENO_STRP2	UB2D2_HUMAN
ENO_STRP2	KS6A3_HUMAN
ENO_STRP2	UB2D3_HUMAN
ENO_STRP2	RFTN1_HUMAN
ENO_STRP2	S10AE_HUMAN
ENO_STRP2	TRAF6_HUMAN
ENO_STRP2	TAB3_HUMAN
ENO_STRP2	S10A1_HUMAN
ENO_STRP2	MAPK2_HUMAN
ENO_STRP2	LRC19_HUMAN
